web-scraper-order,web-scraper-start-url,name,address,rating,num_to_rate
"1583044594-2","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","3678 Sewells Point Rd","4.0","(322)"
"1583044594-5","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","3324 Holland Road","4.0","(192)"
"1583044594-7","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","1009 Laskin Rd","4.2","(251)"
"1583044594-4","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","5280 Princess Anne Rd","4.4","(165)"
"1583044594-9","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","624 Independence Blvd","3.9","(133)"
"1583044594-3","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","738 E Bayview Blvd","4.1","(160)"
"1583044594-1","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza - East Little Creek","3824 E Little Creek Rd","4.2","(172)"
"1583044594-8","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza","1405 Harpers Rd","4.4","(82)"
"1583044594-6","https://www.google.com/maps/search/calz+pizza/@36.8599294,-76.1147392,11z","Cal'z Pizza, Subs, & Wings","8245 Hampton Blvd","3.8","(86)"
